endTime,artistName,trackName,msPlayed
2022-03-30 20:43,Joe Hisaishi,The Sixth Station,218240
2022-03-30 20:45,Joe Hisaishi,A Journey (The Wedding),116960
2022-03-30 20:46,Joe Hisaishi,A Journey (A Parting),78360
2022-03-30 20:49,Joe Hisaishi,A Walk in the Skies,134813
2022-03-30 20:51,SEATTLEMUSIC,Dola and the Pirates,131866
2022-03-30 20:52,Alexandre Desplat,Friedrich Dances with Jo,94453
2022-03-30 20:53,Million Eyes,Lily's Dance,13643
2022-03-30 22:50,Million Eyes,Lily's Dance,3570
2022-03-30 22:54,Weezer,Island In The Sun,200306
2022-03-30 22:59,Cherub,Doses & Mimosas,323253
2022-03-30 23:30,The Backseat Lovers,Kilby Girl,282205
2022-03-30 23:34,Mac Miller,The Spins,195873
2022-03-30 23:39,The Strokes,The Adults Are Talking,309053
2022-03-30 23:42,"Tyler, The Creator",See You Again (feat. Kali Uchis),180386
2022-03-30 23:46,Grouplove,Raspberry,196026
2022-03-30 23:48,Dominic Fike,Why,139906
2022-03-30 23:51,Aidan Bissett,More Than Friends,183012
2022-03-30 23:53,Dominic Fike,Babydoll,97960
2022-03-30 23:57,Justin Bieber,Confident,248133
2022-03-31 00:01,Two Feet,Back Of My Mind,186053
2022-03-31 00:02,Fitz and The Tantrums,Out of My League,67870
2022-03-31 01:43,Deee-Lite,Groove Is in the Heart,80448
2022-03-31 03:22,Deee-Lite,Groove Is in the Heart,673
2022-03-31 03:25,Andy Grammer,Keep Your Head Up,189933
2022-03-31 03:28,Two Door Cinema Club,Undercover Martyn,167773
2022-03-31 03:31,Bazzi,Paradise,144910
2022-03-31 06:48,Joe Hisaishi,A Night of Shooting Stars,9045
2022-03-31 06:51,Joe Hisaishi,The Sixth Station,218240
2022-03-31 06:55,Joe Hisaishi,Ashitaka and San,192506
2022-03-31 15:01,Joe Hisaishi,One Summer Day,107570
2022-03-31 15:05,Gorillaz,Feel Good Inc.,222640
2022-03-31 15:07,khai dreams,Through and Through,113684
2022-03-31 15:11,Tears For Fears,Everybody Wants To Rule The World,251488
2022-03-31 15:15,John Mayer,New Light,217426
2022-03-31 15:18,Lizzo,Truth Hurts,173325
2022-03-31 15:21,Fitz and The Tantrums,Out of My League,209386
2022-03-31 15:22,Peach Tree Rascals,Mariposa,72966
2022-03-31 15:23,Lizzo,Truth Hurts,2321
2022-03-31 15:26,Lizzo,Rumors (feat. Cardi B),172832
2022-03-31 15:57,Lizzo,Juice,20343
2022-03-31 20:13,Anne Dudley,Suite from Poldark,1060
2022-03-31 20:16,Anne Dudley,Poldark Prelude,221893
2022-03-31 20:19,Anne Dudley,It Will Always Be Ross,138906
2022-03-31 20:22,Anne Dudley,Resurgam,207106
2022-03-31 20:25,Anne Dudley,It Will Always Be Ross,138906
2022-03-31 20:31,Anne Dudley,Suite from Poldark,255816
2022-03-31 20:34,Alexander Rybak,Fairytale,183093
2022-03-31 20:37,Martin Phipps,The Dance,181706
2022-03-31 20:41,Craig Armstrong,Far from the Madding Crowd Love Theme,222773
2022-03-31 20:44,Joseph Trapanese,"Burn Butcher Burn - from ""The Witcher: Season 2"" Soundtrack",159430
2022-03-31 20:47,Woodkid,Run Boy Run,213266
2022-03-31 20:51,Valerie Broussard,Trouble,213360
2022-03-31 20:52,Lana Del Rey,"Once Upon a Dream - From ""Maleficent"" / Pop Version",75111
2022-03-31 22:21,KiNG MALA,she calls me daddy,183569
2022-03-31 22:21,KiNG MALA,sugarblind,25230
2022-03-31 22:24,Kanye West,Homecoming,204026
2022-03-31 22:28,Mac Miller,The Spins,195873
2022-03-31 22:32,T-Pain,Bartender (feat. Akon),238800
2022-03-31 22:34,Doja Cat,Get Into It (Yuh),138293
2022-03-31 22:38,DRAM,Broccoli,225205
2022-03-31 22:42,N.E.R.D,Lemon (feat. Drake) - Drake Remix,226106
2022-03-31 22:45,Mac Miller,Knock Knock,202806
2022-03-31 22:49,B.o.B,HeadBand (feat. 2 Chainz),220240
2022-03-31 22:52,Kodak Black,Patty Cake,198109
2022-03-31 22:55,Aminé,Spice Girl,173946
2022-03-31 22:56,Frank Ocean,Lost,43513
2022-03-31 22:59,B.o.B,HeadBand (feat. 2 Chainz),220240
2022-03-31 23:01,T-Pain,Bartender (feat. Akon),64090
2022-03-31 23:03,Lizzo,Truth Hurts,173325
2022-03-31 23:07,Lizzo,Juice,195144
2022-03-31 23:10,Lizzo,Rumors (feat. Cardi B),172832
2022-03-31 23:13,Lizzo,Good as Hell,14682
2022-03-31 23:13,Lizzo,Juice,195144
2022-03-31 23:17,T-Pain,Bartender (feat. Akon),10750
2022-03-31 23:17,B.o.B,HeadBand (feat. 2 Chainz),220240
2022-03-31 23:21,Frank Ocean,Lost,234093
2022-03-31 23:27,The Backseat Lovers,Kilby Girl,282205
2022-03-31 23:31,Bea Miller,FEEL SOMETHING DIFFERENT,207327
2022-03-31 23:34,Rejjie Snow,ACID TRIP,188293
